AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR
254.5573598,173.8111951,199.6274746,260.7291936,6.548625862,6.213699403,102.7157923,119.8394381,38.54147933,33.02310304,37.49045107,62.73522842,138.2867836,105.0800292,44.48118786,106.0854892,5.901512933,24.01178242,7.167390394,28.56748424,37.14184263,54.20486491,88.51128174,15.44828936,44.64228416,4.808531422,48.93890394,21.70077481,18.64235123,16.15285644,39.65613187,112.1750095,86.24830876,83.31191548,78.15389556
266.1824924,171.8567423,199.434102,257.4936917,8.827482647,1.102045417,132.1789508,137.8091047,42.74500811,36.73224067,44.58113882,72.68859866,134.4473308,117.2728862,49.79884849,107.4422742,9.894607749,23.6893053,10.70817201,27.85571481,37.60190024,57.39137989,93.2236618,17.24779949,44.64904623,5.283381714,47.73787593,28.71376947,16.09377787,14.90456701,50.07831098,110.6437289,97.71565199,88.84704604,81.60731356
259.8757693,176.5292425,202.5856628,248.7630804,17.43327575,5.029738686,130.4121365,145.0331531,28.16815056,27.65171205,44.9778735,74.70581183,141.5781599,128.4234317,43.05152966,105.7771313,9.344691218,30.28197683,9.131219978,25.76296553,29.9758072,72.52653903,132.9453663,17.62861414,63.14153483,7.424686114,42.48981437,17.23021693,10.90272061,37.5365868,74.13165789,114.2328392,96.53441988,87.0295507,80.39446391
208.2227415,134.5216318,180.1671958,219.6399534,17.49250665,4.867285167,110.3924237,113.1476816,13.13961123,22.38123637,38.78286919,65.26895615,128.8470831,113.1447741,37.15098973,78.29253556,2.905534605,29.34078099,8.360450864,22.77286089,40.20154727,125.0153743,151.4969801,13.15775689,50.24077811,10.17540577,25.55692857,38.20941593,19.02717888,97.85436708,60.53041494,106.6120023,80.89793304,77.71161267,58.16143827
196.1664252,124.9992829,167.0472765,181.0801409,23.59964258,11.05718658,102.643696,119.3781516,26.03298082,26.68540057,43.85964668,66.48221235,115.2431196,88.33056821,42.90914459,72.61818911,15.19239154,39.08384517,12.83557041,25.14521874,34.38542766,102.7460236,120.9344513,22.15310297,68.02379043,18.76593869,29.45686132,49.39441819,39.42093841,73.41827528,49.10272613,93.20396323,74.84857435,77.06712575,62.28210534
159.931296,93.91250244,138.4818185,142.0814098,14.90576947,9.75824346,78.83003042,81.60206473,16.28441421,14.86988542,32.90213414,50.91315337,68.39586338,62.18678089,32.16554292,55.64442395,14.72071922,40.68411564,8.6162005,19.1539696,33.59425671,68.41094544,91.06965246,24.87541954,62.58532262,22.05771767,23.88320519,70.62558204,55.85341171,32.13473693,34.1126779,71.48567821,56.90849585,67.48320049,40.40044555
128.433838,75.48450931,106.8693322,116.9001826,11.71854881,6.85809389,62.4221036,74.18629131,16.93749275,16.62127881,28.54551587,45.65812981,56.48903743,47.26496906,25.56072953,45.22431894,27.85817972,66.18144203,9.267776029,14.81859602,29.83475939,54.34425187,78.75522683,43.71296806,61.23880571,27.95996415,26.5559775,77.90352987,77.64841649,30.46611621,34.72962076,65.28598613,46.65666206,70.98622682,39.73716584
99.93441752,59.77735755,84.78118783,96.41752901,18.35323773,29.43795273,54.19110416,61.51424017,17.19299759,15.86376711,30.39914703,51.55302986,53.17909028,38.878353,23.02223302,40.5993425,82.53319351,168.5942659,15.35631933,12.0421418,35.79110803,39.99745968,56.5401331,53.01786789,35.82420829,35.52371586,31.56416251,89.4822334,77.37516963,18.87237714,23.57425153,55.89271938,37.66847482,58.10535782,36.81728105
82.62343937,43.48645633,71.24223769,73.19175667,23.27040785,29.43866596,46.23763215,62.37282304,18.09959867,13.86985891,22.65295256,40.3239376,48.85225765,38.51304509,24.03929111,46.78630482,97.46516262,197.4150944,17.73810983,8.711047287,36.2677556,38.65069694,52.10511863,51.86019116,34.2749573,34.01956782,44.72467644,62.03396127,50.50493484,10.73878009,35.43178569,47.97640078,28.1328361,49.58072591,31.0152036
60.73747307,34.9232145,54.11858895,64.19637587,34.93834543,43.99082175,35.90387149,45.97948721,13.40253052,10.83956876,22.73421032,36.72953689,49.92598603,44.62889406,19.6314838,47.4717166,145.0270619,270.9705306,21.21249526,7.231163814,25.87206055,30.26877329,44.52563482,62.25948442,29.08251076,41.26644491,43.54093918,41.30487561,25.15729919,17.28283067,53.25590952,47.95474708,29.79334745,40.56222713,31.00429015
58.65286199,31.50628454,51.0420964,57.83928883,67.65007983,79.72812183,37.81992484,47.61181161,4.58027549,9.459312198,27.30996614,42.90805196,52.81798435,49.45616114,18.1758848,46.91672969,208.0449957,364.3331279,36.3490425,11.3459365,25.46317889,34.36879431,49.93790662,63.59066577,41.73546073,43.2507225,53.91586027,29.88139044,16.78202921,77.58419473,74.29658808,46.59959539,53.51724499,47.5209883,28.18078922
40.51177536,23.31485209,37.21945292,45.79622921,84.77199325,86.30182546,31.96213147,49.50310594,4.552646339,6.858777359,20.90935854,36.59631776,49.88729038,51.91951592,15.77788835,37.72257933,230.6903135,395.8499413,42.78943811,9.509952002,26.20711104,37.7428429,55.67072918,62.45300481,51.43101779,47.9583678,44.36768055,39.44321576,21.87864786,132.2044599,48.81409441,33.69933856,42.43527795,42.16975159,23.85980693
