AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQDL,OLQVR,RIBL,RIBR,RID,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDVL,SMDVR,URYDL,URYDR,URYVL
236.5628131,293.6043832,313.4032754,417.086999,22.00933283,33.22240971,181.1599156,75.46799675,35.66064918,59.72524905,56.28911157,64.6779405,61.09391154,58.27223738,30.93891004,14.16064837,37.09472827,15.41604925,23.67672121,209.3867623,29.74979213,119.6816547,11.02390594,21.47038029,30.57161254,9.989502665,51.09306552,73.53822224,32.19050215
233.134402,307.6713776,318.1791221,424.5165066,22.75043658,32.01290204,168.7418377,81.17221941,37.39537376,51.04212227,61.37503239,73.20307125,60.51764084,69.17822551,25.51068533,17.68495595,35.96960118,19.39605852,22.97625331,210.4742903,37.28016766,135.8468481,12.57218539,36.15892657,29.634758,13.30429193,56.01638144,75.39458824,34.1551292
212.0552963,284.4899675,304.0750766,394.0886941,11.25528674,25.39945687,155.8199617,83.5306446,33.4251116,43.26314687,51.5790069,72.59016899,56.46486359,65.02823071,22.91656076,12.79912709,34.56857436,10.2876853,27.01289453,182.5723425,26.21015112,125.2013074,13.48030905,43.35739699,17.4702999,11.54296136,52.07773339,68.03779359,12.44195313
201.8619293,292.5736454,303.3084995,387.3435075,13.44574778,25.52462671,156.8338979,93.40676699,34.89122127,50.82880849,52.85860329,68.39601936,48.60668547,66.36748728,22.62919769,9.546499518,38.53902351,10.08679534,22.74060391,199.297819,24.89634564,136.8550076,8.178226959,48.32463851,23.12999398,12.27434958,56.84674671,70.70578985,20.52721112
209.7766506,294.2561553,310.0975824,400.5121189,17.89553853,31.8871942,157.1357748,94.86444103,41.7322526,53.10888927,56.56897239,70.07876062,53.80861584,69.1709924,27.71686055,19.10236809,39.60099128,16.64667458,31.73361222,195.3856465,30.14235036,119.5951055,18.35914097,64.43146012,30.09467887,13.01316434,60.42913323,84.71607672,24.39203247
193.9827579,288.9988896,303.3527501,373.7720534,11.8778737,22.67250002,131.8885863,83.66968705,32.26884765,45.10975227,54.62791847,67.15301268,53.57021537,68.03982623,22.25813201,8.029652001,36.13029075,11.78830173,19.24783109,179.8220137,25.55069451,115.3097982,13.92819172,57.2265154,28.50716493,10.77654636,50.6926422,74.94338334,23.66424354
205.3051197,293.6676549,289.6953378,430.4549195,16.99638574,25.71212904,141.3698036,82.49139017,48.00232222,51.16919551,50.91915502,71.68154775,59.40094587,80.33852026,18.43040043,12.99374618,34.58188588,9.673477644,17.43691461,189.9042327,21.63273766,118.8503884,11.62152529,53.9158848,26.42347973,5.498385794,54.93155129,78.16435489,14.95669186
190.9732587,283.2103473,275.9768907,417.1955991,12.40665724,21.66671072,140.148267,85.72727936,42.34202441,57.28659631,46.92026789,67.90715619,50.47318554,68.68894118,25.8800705,12.56004124,33.91310875,8.335321854,21.19526726,172.8319241,24.74096652,124.1553138,10.16843926,42.43955168,28.28890087,4.465631837,61.48065705,77.50631031,18.53159259
190.6446681,292.5870966,301.4860731,423.3413847,16.93896337,28.93904037,146.3235427,92.31866248,49.34066044,52.89940864,49.38000501,64.75984235,40.05815634,57.82490937,20.35851824,15.39310111,34.54476509,11.16796304,26.30372289,199.9094365,24.81920249,125.0696081,18.17824083,36.17876014,25.28105238,17.29191819,55.68975142,80.11404298,23.43542103
183.1872594,263.3557623,264.5049756,368.6617635,22.37734951,23.34657563,132.9587147,80.07304365,47.22870982,51.1096987,42.08884683,60.11066617,36.1148032,48.58455886,19.00445608,9.338317352,33.93163195,0.130993233,16.1872474,185.7936588,22.96678721,114.0689789,12.69580865,20.25215958,21.26268143,16.72990165,42.45456,81.28660413,17.6464279
200.020643,275.8203466,279.7702652,367.2159819,23.16475268,24.0000937,168.0124081,79.52343221,39.83948556,55.44815302,39.42700022,56.20854671,40.9703504,54.14254435,8.835862253,12.07957199,30.3316298,14.82302746,19.32072383,193.1505378,32.20534893,114.0584405,16.90579422,23.98104232,20.74636218,13.98424306,49.60149509,76.92965111,29.93275223
224.2146794,239.1804327,291.6401715,377.7014657,25.01720827,20.02125446,171.9689187,83.03311733,42.74040526,52.35361692,50.42641209,66.53848201,42.58698722,56.28431879,18.15565714,20.66569533,40.23396271,13.55125709,18.99712872,209.0732136,32.79910423,112.3341153,12.48859148,22.37045845,23.27667112,17.58073479,46.60954811,84.17022317,17.00758773
219.3028504,248.0395603,268.6277979,367.4314398,18.00445181,22.26696622,156.9499073,79.99133356,44.28974099,48.87439854,52.22675445,64.06268112,46.68163715,57.58019701,13.3327343,6.377718274,30.54203774,10.41451483,15.89120562,177.7861901,26.70596794,104.8899009,8.855917591,21.16183383,29.14108926,20.78717613,45.0195983,83.2834368,19.95028311
227.8549555,305.4059903,292.6449306,389.8795809,27.27496851,17.15859472,164.0574311,81.15428239,40.59665689,48.20499661,61.16501196,69.95980339,50.49623678,65.2973588,17.70751968,19.82954169,40.6716869,13.50228033,14.17067395,195.7724401,26.11766389,109.0586461,18.56584194,24.6033414,24.84473637,19.1500247,51.99166234,87.45303568,24.3193802
217.8124805,289.7656432,288.5289344,400.883828,21.77901029,17.96206765,168.478889,89.15436651,39.23207095,48.97490188,55.94691266,63.92810902,44.47955128,61.27307677,19.73502239,20.17078505,38.42008608,5.643610931,18.04887506,191.6905086,24.38104265,99.43275924,18.70621216,14.89317869,29.41309986,13.104438,54.08745949,85.01260304,20.69462607
227.8872937,279.2695951,262.9335142,366.6051806,24.78439147,25.427541,163.2853381,92.16756872,47.10131168,54.3624176,46.30042589,56.05239439,44.67915584,60.06142912,11.63928973,11.55699313,36.82378352,9.607052539,25.60304415,221.2691656,22.40249472,103.5945788,15.58778005,18.65984321,26.82503681,20.45626294,44.75683081,82.94343689,14.50068744
221.9089782,278.8631773,254.0707843,357.9137502,12.38419827,11.45194523,156.2240942,82.43618871,29.08112901,35.96097723,41.37383159,55.19822457,42.72887751,56.93065335,3.687642757,5.951210962,31.1380909,5.476743016,21.57731629,180.3630617,12.68425699,93.11706547,16.79914118,4.549605302,0,10.75519431,31.15191104,81.61566948,8.524836085
224.8804568,271.9256237,280.8607514,370.5483391,20.41241518,24.45184385,172.763671,77.4684395,41.07388739,43.22832444,57.16258995,65.80842016,46.32192351,65.50918267,21.06801108,15.00648928,38.72158282,10.35083045,8.957413256,211.1899159,24.50547003,97.3283191,17.55107815,9.966564189,28.67693027,12.0664472,50.46303378,97.39579313,22.30740546
209.4350455,261.7281153,298.4340666,349.2602633,29.30250098,11.26462903,155.7708738,87.85100711,41.00992231,53.69181035,36.22249545,58.08130152,40.98990765,54.96284856,19.55566278,13.8571164,39.31540356,3.676507498,14.66998846,181.7088643,25.48862334,87.81929729,16.28500959,4.31233995,19.36471859,21.02895013,43.1080032,81.09953155,11.72952177
210.8741373,254.8734555,253.7938466,290.8484968,25.00084017,7.401779703,154.5196405,79.39799648,47.83562189,53.7867865,36.01886272,51.04531981,30.54815769,37.69342445,8.502735848,27.90231969,34.28409371,5.929589111,4.905514104,203.8136964,21.6096235,77.95075539,10.68894561,10.90453926,24.79728836,8.850843358,44.25030435,68.56182508,12.54048883
